@id,CityName,StreetName,leisure,name,,,
500297125,DKI Jakarta,Jalan Lapangan Bola Srengseng,pitch,Lapangan Sepak Bola Srengseng,,,
500592830,DKI Jakarta,Gang Daarussalam Nomer 52,pitch,RIJ Futsal,,,
500647766,DKI Jakarta,Jalan Utan Jati,pitch,Centro Futsal,,,
500845606,DKI Jakarta,Jalan Danau Tondano,pitch,Lapangan Merah,,,
500845612,DKI Jakarta,Jalan Penjernihan I,pitch,Lapangan Rusun Benhil,,,
501141320,DKI Jakarta,Jalan Bango I Pondok Labu,pitch,Lapangan Al Jabr,,,
501873040,DKI Jakarta,Jalan H Montong,pitch,Futsal 3R,,,
502270484,DKI Jakarta,Jalan Moch Kahfi II Kampung Betawi,pitch,Studio Futsal Dan Music,,,
502297773,DKI Jakarta,Jalan Taman Sari I,pitch,Lapangan Hutan Kota Pesanggrahan,,,
502328001,DKI Jakarta,Jalan Husein Sastra Negara,pitch,Futsal Rawa Bokor,,,
502396777,DKI Jakarta,Jalan Camat Gabun I,pitch,Agung Futsal,,,
504916494,DKI Jakarta,"Jalan Jambore No. 1 A RT 06 RW 11 Cibubur Ciracas, Jakarta Timur",pitch,Futsal Avenue,,,
505736152,DKI Jakarta,Jalan Lebak Bulus III,pitch,GB Futsal,,,
506658471,DKI Jakarta,Jalan Pondok Kopi Blok E-7,pitch,Sarana Olahraga Pondok Kopi (SAGA 09),,,
506895841,DKI Jakarta,Jalan Jagakarsa,pitch,The Fiqs Futsal Jagakarsa,,,
506896002,DKI Jakarta,Jalan H. Khayar,pitch,Futsal 1919,,,
507229157,DKI Jakarta,Komplek Citra 2,pitch,Futsal Sport Net 134,,,
507229291,DKI Jakarta,Jalan Peta Utara,pitch,Lapangan Sepak Bola Pegadungan,,,
507486845,DKI Jakarta,Jalan Satu Maret,pitch,Karisma Futsal N Hall,,,
508113428,DKI Jakarta,Jalan Kp Kapuk III,pitch,Silma,,,
508137843,DKI Jakarta,Jalan Kemuning Raya,pitch,Viva Futsal Cengkareng,,,
